שם צבע (Color Name),קוד צבע (Color Code),RGB,HEX
Perfect Plum,1302A,"rgb(128,80,128)",#805080
Angel,1303P,"rgb(231,221,223)",#E7DDDF
Aromatic Breeze,1304P,"rgb(234,213,222)",#EAD5DE
Red Violet Tint,1305P,"rgb(230,198,218)",#E6C6DA
EYESHADOW,1306P/T,"rgb(216,173,202)",#D8ADCA
Little Girl Pink,1307T,"rgb(197,146,183)",#C592B7
LILY PINK,1308A,"rgb(175,114,160)",#AF72A0
Violet Trace,1309A,"rgb(147,80,129)",#935081
Angle Gloss,1310P,"rgb(236,225,227)",#ECE1E3
Tiara Pink,1311P,"rgb(236,213,219)",#ECD5DB
Love Andi,1312P,"rgb(232,192,211)",#E8C0D3
Viva la Pink,1313T,"rgb(221,172,197)",#DDACC5
Pretty Posey,1314T,"rgb(207,148,178)",#CF94B2
FLORAL GARDEN,1315A,"rgb(189,115,154)",#BD739A
Magenta Rose,1316A,"rgb(159,78,123)",#9F4E7B
Amethyst Ice,1317P,"rgb(220,221,228)",#DCDDE4
Rain Lily,1318P,"rgb(206,207,221)",#CECFDD
Fragrant Amelia,1319P,"rgb(188,187,209)",#BCBBD1
Basket of Flowers,1320T,"rgb(164,169,199)",#A4A9C7
Dainty Cornflower,1321T,"rgb(141,146,182)",#8D92B6
CRESTED IRIS,1322A,"rgb(109,119,163)",#6D77A3
Twilight Sky,1323A,"rgb(80,92,140)",#505C8C
Sea Lavender,1324P,"rgb(226,222,229)",#E2DEE5
Berry Cream,1325P,"rgb(207,204,220)",#CFCCDC
Amazing Grace,1326P,"rgb(189,183,209)",#BDB7D1
Nemesis,1327T,"rgb(162,158,192)",#A29EC0
Velvet Violet,1328T,"rgb(150,139,178)",#968BB2
PURPLE SPARKLE,1329A,"rgb(120,115,159)",#78739F
Jubilee Violet,1330A,"rgb(85,83,130)",#555382
QUEEN ANNE&#39;S LACE,1331P,"rgb(224,220,226)",#E0DCE2
Aster Tint,1332P,"rgb(214,204,217)",#D6CCD9
Candy Tuft,1333P,"rgb(197,185,207)",#C5B9CF
Lavender Spectacle,1334T,"rgb(173,162,190)",#ADA2BE
Lavender Bikini,1335T,"rgb(156,143,179)",#9C8FB3
GENEVIEVE SONG,1336A,"rgb(127,114,155)",#7F729B
Sunset Mauve,1337A,"rgb(98,84,129)",#625481
Snowman,1338P,"rgb(227,220,224)",#E3DCE0
Easter Bunny,1339P,"rgb(216,202,215)",#D8CAD7
Petal Poise,1340P,"rgb(200,184,207)",#C8B8CF
Gypsy Purple,1341T,"rgb(177,160,189)",#B1A0BD
Windflower,1342T,"rgb(161,140,175)",#A18CAF
DARING DECEPTION,1343A,"rgb(140,113,152)",#8C7198
Plum Sensation,1344A,"rgb(110,82,126)",#6E527E
Praise Giving,1345P,"rgb(230,220,224)",#E6DCE0
Lady Anne,1346P,"rgb(221,203,216)",#DDCBD8
Royal Palace,1347P,"rgb(202,180,202)",#CAB4CA
Rose Amethyst,1348T,"rgb(187,160,188)",#BBA0BC
Sparkling Plum,1349T,"rgb(169,139,172)",#A98BAC
GRAPE SODA,1350A,"rgb(147,112,150)",#937096
Velvet Pansy,1351A,"rgb(121,80,124)",#79507C
Magenta Red Lips,1352P,"rgb(231,217,222)",#E7D9DE
Jam and Butter,1353P,"rgb(222,202,213)",#DECAD5
Plum’s the World,1354P,"rgb(211,182,200)",#D3B6C8
Victorian Parlor,1355T,"rgb(194,161,185)",#C2A1B9
Mauvette Shade,1356T,"rgb(179,139,167)",#B38BA7
FAIRY LAND,1357A,"rgb(154,109,142)",#9A6D8E
Cloud Terrace,1358A,"rgb(131,78,118)",#834E76
Pink Touch,1359P,"rgb(232,216,221)",#E8D8DD
Rose Mallow,1360P,"rgb(225,202,211)",#E1CAD3
Rare Find,1361P,"rgb(216,180,195)",#D8B4C3
Toe Shoes,1362T,"rgb(199,158,178)",#C79EB2
Summer Cosmos,1363T,"rgb(186,138,163)",#BA8AA3
PEONY PRIZE,1364A,"rgb(169,109,139)",#A96D8B
Berry Bright,1365A,"rgb(141,77,113)",#8D4D71
Imagination,1366P,"rgb(207,207,217)",#CFCFD9
Pebble Path,1367P,"rgb(186,187,203)",#BABBCB
Stella Maris,1368T,"rgb(162,166,188)",#A2A6BC
Always,1369T,"rgb(140,145,172)",#8C91AC
GORGEOUS GABI,1370T/A,"rgb(118,125,152)",#767D98
PURPLE SLATE,1371A,"rgb(96,106,138)",#606A8A
NIGHT&#39;S CLOAK,1372A,"rgb(76,84,120)",#4C5478
Odyssey Orchid,1373P,"rgb(216,208,217)",#D8D0D9
Mauve Dust,1374P,"rgb(183,180,197)",#B7B4C5
Bell Flower,1375T,"rgb(165,161,181)",#A5A1B5
Spice Plum,1376T,"rgb(146,143,167)",#928FA7
MOSS PHLOX,1377T/A,"rgb(126,121,148)",#7E7994
ANGEL&#39;S LANDING,1378A,"rgb(104,100,132)",#686484
Midnight Rendezvous,1379A,"rgb(86,81,116)",#565174
Really Early Light,1380P,"rgb(217,210,219)",#D9D2DB
Windy Day,1381P,"rgb(190,181,195)",#BEB5C3
GRANDMA&#39;S FAVOURITE,1382T,"rgb(171,163,183)",#ABA3B7
Charming Violet,1383T,"rgb(148,142,166)",#948EA6
Plum Illsuion,1384T,"rgb(131,121,149)",#837995
ANTIQUE PLUM,1385A,"rgb(111,101,131)",#6F6583
Purple Stillettos,1386A,"rgb(91,79,113)",#5B4F71
Snow Flakes,1387P,"rgb(215,206,217)",#D7CED9
Heather Ash,1388P,"rgb(190,180,195)",#BEB4C3
Plum Crazy,1389T,"rgb(174,158,178)",#AE9EB2
Granite Rose,1390T,"rgb(157,140,164)",#9D8CA4
MARVELLOUS MAGIC,1391T/A,"rgb(142,121,147)",#8E7993
PLAYFUL,1392A,"rgb(117,99,128)",#756380
Deep Velvet,1393A,"rgb(102,81,114)",#665172
Dreamer,1394P,"rgb(223,208,216)",#DFD0D8
Dusty Mauve,1395P,"rgb(201,183,197)",#C9B7C5
Warm Violet,1396T,"rgb(186,164,182)",#BAA4B6
Weathered Plum,1397T,"rgb(166,143,166)",#A68FA6
CAPE GRAPE,1398T/A,"rgb(146,121,146)",#927992
GRAPE&#39;S TREASURE,1399A,"rgb(126,100,128)",#7E6480
Victorian Lace,1400A,"rgb(109,79,110)",#6D4F6E
Vintage Viola,1401P,"rgb(224,207,214)",#E0CFD6
Lavender Memory,1402P,"rgb(206,183,196)",#CEB7C4
Brendan,1403T,"rgb(186,161,178)",#BAA1B2
Grape Ash,1404T,"rgb(171,141,161)",#AB8DA1
MEDIEVAL,1405T/A,"rgb(149,117,140)",#95758C
GRAPE ILLUSION,1406A,"rgb(133,98,124)",#85627C
Lost Spirit,1407A,"rgb(120,78,105)",#784E69
Morning Side,1408P,"rgb(226,207,212)",#E2CFD4
Shell Crush,1409P,"rgb(205,181,191)",#CDB5BF
Abra Cadabra,1410T,"rgb(188,158,173)",#BC9EAD
Purple Prose,1411T,"rgb(168,137,155)",#A8899B
LOCKHART,1412T/A,"rgb(157,120,140)",#9D788C
GRACEFUL GRAPE,1413A,"rgb(139,101,123)",#8B657B
Burgundy Berry,1414A,"rgb(128,81,104)",#805168
White Owl,1415P,"rgb(198,199,210)",#C6C7D2
Lady Grey,1416P,"rgb(176,178,192)",#B0B2C0
GENTLEMAN&#39;S GREY,1417T,"rgb(156,157,174)",#9C9DAE
Lightning Sash,1418T,"rgb(132,136,154)",#84889A
LAST LIGHT,1419A,"rgb(115,119,137)",#737789
QUICKSHOT,1420A,"rgb(95,96,116)",#5F6074
Revel,1421A,"rgb(75,81,104)",#4B5168
Winged Victory,1422P,"rgb(198,195,205)",#C6C3CD
NIAGRA MIST,1423P/T,"rgb(174,172,185)",#AEACB9
Spring Feather,1424T,"rgb(156,153,167)",#9C99A7
Desolate,1425T,"rgb(137,134,150)",#898696
BUTTERFLY BUSH,1426A,"rgb(119,116,133)",#777485
VANCOUVER DUSK,1427A,"rgb(98,97,118)",#626176
Mysterious Iris,1428A,"rgb(77,74,96)",#4D4A60
Last Night,1429P,"rgb(202,198,206)",#CAC6CE
Simplicity,1430P,"rgb(183,175,187)",#B7AFBB
Primrose Path,1431T,"rgb(158,155,168)",#9E9BA8
Silver Shell,1432T,"rgb(140,137,153)",#8C8999
SCREEN GEM,1433A,"rgb(121,114,132)",#797284
GYPSY&#39;S GOWN,1434A,"rgb(101,95,116)",#655F74
Night Iris,1435A,"rgb(86,78,100)",#564E64
Moonlit Path,1436P,"rgb(203,196,206)",#CBC4CE
Moonlight Melody,1437P,"rgb(183,175,187)",#B7AFBB
Dove’s Delight,1438T,"rgb(164,155,169)",#A49BA9
Timeless Classic,1439T,"rgb(143,133,149)",#8F8595
NOBLE HONOR,1440A,"rgb(122,112,129)",#7A7081
REGAL BEARING,1441A,"rgb(104,92,112)",#685C70
NIGHT&#39;S PRIDE,1442A,"rgb(89,75,95)",#594B5F
Crescent Moon,1443P,"rgb(206,196,205)",#CEC4CD
Little Smile,1444P,"rgb(186,176,185)",#BAB0B9
Spiderweb,1445T,"rgb(169,155,168)",#A99BA8
Sunset Serenade,1446T,"rgb(152,135,148)",#988794
PURPLE SALVIA,1447T/A,"rgb(133,114,129)",#857281
WINTER LILAC,1448A,"rgb(114,95,114)",#725F72
Purple Geranium,1449A,"rgb(100,78,98)",#644E62
Violet Light,1450P,"rgb(211,195,204)",#D3C3CC
Plum Pudding,1451P,"rgb(188,172,184)",#BCACB8
Violet Fluff,1452T,"rgb(174,155,167)",#AE9BA7
Satin Lining,1453T,"rgb(156,136,149)",#9C8895
BERRY LIGHT,1454T/A,"rgb(136,114,128)",#887280
CHERISH THE MOMENT,1455A,"rgb(117,93,110)",#755D6E
Romantic Ballad,1456A,"rgb(97,72,90)",#61485A
Paternoster,1457P,"rgb(210,192,198)",#D2C0C6
LOVER&#39;S TRYST,1458P,"rgb(192,172,180)",#C0ACB4
Purple Whimsy,1459T,"rgb(172,151,160)",#AC97A0
Veld Dusk,1460T,"rgb(157,135,146)",#9D8792
WINK,1461T/A,"rgb(139,114,126)",#8B727E
PURPLE SECRET,1462A,"rgb(121,94,108)",#795E6C
Family Jewels,1463A,"rgb(105,74,89)",#694A59
Walk on the Moon,1464P,"rgb(188,188,198)",#BCBCC6
Moon Rock,1465T,"rgb(167,169,179)",#A7A9B3
Revenge,1466T,"rgb(147,148,159)",#93949F
Soft Lead,1467T,"rgb(129,131,142)",#81838E
GREY ARCHO,1468A,"rgb(109,110,121)",#6D6E79
Phantom Night,1469A,"rgb(91,94,105)",#5B5E69
Chalkboard,1470A,"rgb(72,74,84)",#484A54
Purple Pebbles,1471P,"rgb(189,187,198)",#BDBBC6
Steamy,1472T,"rgb(170,167,178)",#AAA7B2
Love Triangle,1473T,"rgb(149,147,159)",#95939F
Platinum Bar,1474T,"rgb(130,128,140)",#82808C
SILVERY,1475A,"rgb(110,109,120)",#6E6D78
Iron Horse,1476A,"rgb(91,90,101)",#5B5A65
Otter,1477A,"rgb(75,72,84)",#4B4854
North Pole,1478P,"rgb(191,185,195)",#BFB9C3
WHITE CASTLE,1479P/T,"rgb(166,163,175)",#A6A3AF
Steamy Shadow,1480T,"rgb(151,148,159)",#97949F
Grey Reminder,1481T,"rgb(131,129,140)",#83818C
SILVER AIRPLANE,1482A,"rgb(112,110,121)",#706E79
Time Capsule,1483A,"rgb(94,90,101)",#5E5A65
SHARK&#39;S TAIL,1484A,"rgb(77,72,82)",#4D4852
Smoke Bush,1485P,"rgb(193,184,194)",#C1B8C2
VALLIANT,1486P/T,"rgb(169,162,172)",#A9A2AC
Gladiator,1487T,"rgb(154,148,159)",#9A949F
White Shark,1488T,"rgb(133,129,140)",#85818C
SIDEWALK,1489A,"rgb(112,106,117)",#706A75
SILVER BELL,1490A,"rgb(97,90,101)",#615A65
Artist Charcoal,1491A,"rgb(80,70,79)",#50464F
Rainshower,1492P,"rgb(193,181,190)",#C1B5BE
Dried Lavender,1493T,"rgb(176,164,173)",#B0A4AD
Hazy Purple,1494T,"rgb(153,145,154)",#99919A
Flipper,1495T,"rgb(139,127,137)",#8B7F89
AROUND TOWN,1496A,"rgb(116,107,117)",#746B75
PRUNE WHIP,1497A,"rgb(102,91,99)",#665B63
Purple Dusk,1498A,"rgb(79,69,79)",#4F454F
Pale Alabaster,1499P,"rgb(199,184,192)",#C7B8C0
Plush,1500T,"rgb(170,159,169)",#AA9FA9
Swallow Tail,1501T,"rgb(156,145,154)",#9C919A
Santo Gray,1502T,"rgb(138,128,136)",#8A8088
MYSTERIOUS,1503A,"rgb(120,108,117)",#786C75
BROWN COW,1504A,"rgb(103,90,98)",#675A62
Rafter,1505A,"rgb(82,70,78)",#52464E
Lavender Sparkle,1506P,"rgb(201,184,191)",#C9B8BF
Heather Dust,1507T,"rgb(176,162,170)",#B0A2AA
SOPHIE&#39;S CHOICE,1508T,"rgb(161,147,154)",#A1939A
Silky Velvet,1509T,"rgb(138,126,135)",#8A7E87
BROWN OUT,1510A,"rgb(121,108,115)",#796C73
SHADED PRUNE,1511A,"rgb(103,88,96)",#675860
Dark Antelope,1512A,"rgb(90,74,81)",#5A4A51
JAMAICA,1513P,"rgb(234,234,228)",#EAEAE4
Tears from a Star,1514P,"rgb(221,223,221)",#DDDFDD
Behind the Clouds,1515P,"rgb(197,200,203)",#C5C8CB
Passing Time,1516T,"rgb(160,165,169)",#A0A5A9
SUBWAY WALL,1517A,"rgb(110,116,121)",#6E7479
Space Oddity,1518A,"rgb(84,87,91)",#54575B
Raven Call,1519A,"rgb(66,68,69)",#424445
Clear Vision,1520P,"rgb(221,222,218)",#DDDEDA
Promenade,1521P,"rgb(201,203,204)",#C9CBCC
LET&#39;S TALK BUSINESS,1522P/T,"rgb(167,169,173)",#A7A9AD
NOVEMBER RAIN,1523T/A,"rgb(123,126,132)",#7B7E84
Moon Walk,1524A,"rgb(80,82,86)",#505256
Nocturnes Owl,1525A,"rgb(69,71,72)",#454748
Bagira Panther,1526A,"rgb(64,64,63)",#40403F
Premonition,1527P,"rgb(209,209,203)",#D1D1CB
Dream a Dream,1528P,"rgb(198,197,192)",#C6C5C0
URBAN MIST,1529P/T,"rgb(183,183,180)",#B7B7B4
Secrets Unfold,1530T,"rgb(158,161,161)",#9EA1A1
Time Matters,1531T,"rgb(130,132,133)",#828485
REVEALING MYSTERY,1532A,"rgb(97,98,97)",#616261
Deep in the Dark,1533A,"rgb(78,77,75)",#4E4D4B
Footsteps,1534P,"rgb(223,220,213)",#DFDCD5
Last Rain,1535P,"rgb(214,211,206)",#D6D3CE
EARTH GREY,1536P/T,"rgb(180,178,175)",#B4B2AF
Concrete,1537T,"rgb(157,158,157)",#9D9E9D
ON THE ROAD,1538T/A,"rgb(131,130,129)",#838281
MONSOON,1539A,"rgb(101,99,97)",#656361
Carbonized,1540A,"rgb(75,71,67)",#4B4743
De Ja Vu,1541P,"rgb(233,228,218)",#E9E4DA
Marble Grey,1542P,"rgb(214,208,198)",#D6D0C6
Solitude,1543P,"rgb(194,187,175)",#C2BBAF
Mountain Grey,1544T,"rgb(167,165,157)",#A7A59D
STORMY SKY,1545T/A,"rgb(140,136,128)",#8C8880
SENSE OF GREY,1546A,"rgb(115,109,99)",#736D63
Daring Grey,1547A,"rgb(84,78,70)",#544E46
Secret White,1548P,"rgb(239,234,224)",#EFEAE0
Day to Day,1549P,"rgb(220,213,202)",#DCD5CA
Comfort Zone,1550P,"rgb(211,201,188)",#D3C9BC
Reality Bites,1551T,"rgb(176,167,157)",#B0A79D
Desert Road,1552T,"rgb(149,142,135)",#958E87
EARTH MIRACLE,1553A,"rgb(115,107,98)",#736B62
Grounding,1554A,"rgb(98,88,77)",#62584D
Lasting White,1555P,"rgb(228,219,206)",#E4DBCE
Eco Life,1556P,"rgb(220,209,194)",#DCD1C2
Timeless,1557P,"rgb(207,196,180)",#CFC4B4
Kind Word,1558T,"rgb(169,160,149)",#A9A095
Far Away,1559T,"rgb(150,140,129)",#968C81
SETTLE DOWN,1560A,"rgb(115,104,91)",#73685B
Old Friend,1561A,"rgb(97,86,74)",#61564A
Blessings,1562P,"rgb(228,219,208)",#E4DBD0
Resonance,1563P,"rgb(214,202,191)",#D6CABF
A Thousand Years,1564T,"rgb(174,162,152)",#AEA298
Chateau,1565T,"rgb(150,139,130)",#968B82
FRAGMENTS,1566A,"rgb(137,122,112)",#897A70
CRAFT,1567A,"rgb(120,106,96)",#786A60
Without You,1568A,"rgb(99,85,73)",#635549
Chances,1569P,"rgb(217,207,197)",#D9CFC5
Thorn,1570P,"rgb(209,200,188)",#D1C8BC
Ordinary Love,1571P,"rgb(193,184,173)",#C1B8AD
Elevation,1572T,"rgb(166,159,150)",#A69F96
HIGHEST MOUNTAIN,1573A,"rgb(135,126,115)",#877E73
BLUR,1574A,"rgb(121,111,100)",#796F64
Fa?ade,1575A,"rgb(90,83,72)",#5A5348
Balance,1576P,"rgb(214,203,189)",#D6CBBD
Dawn Beacon,1577P,"rgb(200,189,173)",#C8BDAD
Mysterious Ways,1578T,"rgb(177,168,156)",#B1A89C
IT&#39;S ALL RIGHT,1579T/A,"rgb(151,141,128)",#978D80
HIERARCHY,1580A,"rgb(134,124,109)",#867C6D
Urban Life,1581A,"rgb(123,113,100)",#7B7164
Synchronicity,1582A,"rgb(103,93,79)",#675D4F
Make Sense,1583P,"rgb(212,208,198)",#D4D0C6
MATERIAL WORLD,1584P/T,"rgb(190,184,172)",#BEB8AC
Another Way,1585T,"rgb(166,162,153)",#A6A299
STEPPING STONE,1586A,"rgb(139,135,127)",#8B877F
ON MY WAY,1587A,"rgb(124,117,106)",#7C756A
JOURNEY,1588A,"rgb(115,108,97)",#736C61
Solid,1589A,"rgb(86,80,72)",#565048
Clarity,1590P,"rgb(214,212,205)",#D6D4CD
Nine to Five,1591P,"rgb(196,195,191)",#C4C3BF
Ordinary Day,1592T,"rgb(159,161,160)",#9FA1A0
TROUBLED WATER,1593T/A,"rgb(133,134,133)",#858685
SHADOWS,1594A,"rgb(113,114,111)",#71726F
DARKENESS,1595A,"rgb(102,104,103)",#666867
Late in the Evening,1596A,"rgb(84,83,80)",#545350
Ease Your Mind,1597P,"rgb(210,207,203)",#D2CFCB
Pure Logic,1598P,"rgb(197,195,192)",#C5C3C0
NEW PLAN,1599P/T,"rgb(181,179,174)",#B5B3AE
Business Suit,1600T,"rgb(159,160,159)",#9FA09F
STREET BENCH,1601T/A,"rgb(133,133,133)",#858585
IN THE SHADOW,1602A,"rgb(106,104,102)",#6A6866
Boudoir,1603A,"rgb(77,72,68)",#4D4844
Memories,1604P,"rgb(200,195,191)",#C8C3BF
Tender Grey,1605P,"rgb(187,181,177)",#BBB5B1
BREATHLESS,1606P/T,"rgb(177,170,167)",#B1AAA7
Flashback,1607T,"rgb(155,150,149)",#9B9695
ON MY OWN,1608A,"rgb(126,121,121)",#7E7979
EVENING SHADOWS,1609A,"rgb(106,99,98)",#6A6362
Winds of Change,1610A,"rgb(82,75,72)",#524B48
